Lat,Lon,Depth,Inc,Dec,Moment
-11.2638,16.4397,726.1,5,84,7700000000
-11.2599,15.6893,568.1,5,84,7700000000
-11.2599,16.0567,534.3,5,84,7700000000
-11.2599,16.4749,700.3,5,84,7700000000
-11.256,15.7596,511.1,5,84,7700000000
-11.256,16.2169,496.3,5,84,7700000000
-11.2521,15.5055,314.8,5,84,7700000000
-11.2521,15.9394,375.4,5,84,7700000000
-11.2521,16.3811,796.7,5,84,7700000000
-11.2482,15.7557,527.6,5,84,7700000000
-11.2482,16.1896,435.0,5,84,7700000000
-11.2443,15.4977,313.5,5,84,7700000000
-11.2443,15.9238,375.0,5,84,7700000000
-11.2443,16.3342,768.2,5,84,7700000000
-11.2404,15.6971,625.3,5,84,7700000000
-11.2404,16.0762,661.7,5,84,7700000000
-11.2404,16.5296,576.3,5,84,7700000000
-11.2365,15.9003,333.7,5,84,7700000000
-11.2365,16.2873,756.1,5,84,7700000000
-11.2326,15.5993,444.1,5,84,7700000000
-11.2326,16.0567,651.1,5,84,7700000000
-11.2326,16.4319,715.4,5,84,7700000000
-11.2287,15.8456,302.3,5,84,7700000000
-11.2287,16.2052,687.4,5,84,7700000000
-11.2248,15.4664,404.9,5,84,7700000000
-11.2248,16.0098,572.5,5,84,7700000000
-11.2248,16.3577,781.1,5,84,7700000000
-11.2208,15.7752,490.2,5,84,7700000000
-11.2208,16.17,840.0,5,84,7700000000
-11.2208,16.5179,584.2,5,84,7700000000
-11.2169,16.002,530.3,5,84,7700000000
-11.2169,16.3498,802.2,5,84,7700000000
-11.213,15.7752,511.5,5,84,7700000000
-11.213,16.1857,792.9,5,84,7700000000
-11.213,16.5375,547.0,5,84,7700000000
-11.2091,16.041,694.6,5,84,7700000000
-11.2091,16.3889,792.0,5,84,7700000000
-11.2052,15.8417,386.8,5,84,7700000000
-11.2052,16.2404,712.9,5,84,7700000000
-11.2013,15.5251,460.4,5,84,7700000000
-11.2013,16.0723,753.7,5,84,7700000000
-11.2013,16.4241,684.0,5,84,7700000000
-11.1974,15.8651,435.3,5,84,7700000000
-11.1974,16.2365,725.9,5,84,7700000000
-11.1935,15.5368,462.5,5,84,7700000000
-11.1935,16.0254,742.6,5,84,7700000000
-11.1935,16.3733,739.9,5,84,7700000000
-11.1896,15.7752,559.6,5,84,7700000000
-11.1896,16.1309,821.2,5,84,7700000000
-11.1896,16.4788,487.9,5,84,7700000000
-11.1857,15.9121,515.1,5,84,7700000000
-11.1857,16.2599,805.3,5,84,7700000000
-11.1818,15.5837,589.6,5,84,7700000000
-11.1818,16.0879,826.6,5,84,7700000000
-11.1818,16.4397,538.0,5,84,7700000000
-11.1779,15.9355,582.7,5,84,7700000000
-11.1779,16.2834,823.5,5,84,7700000000
-11.1739,15.6228,639.0,5,84,7700000000
-11.1739,16.1466,850.1,5,84,7700000000
